Country,ISO3166,MCC MNC,MNO,RAT,Bands (Main),Plan,Support,Supported Features,Date
Germany,DEU,26201,Telekom.de,LTE-M,B3 | B20,planP1,Validated,SMS,01/18/2024
Germany,DEU,26202,Vodafone,LTE-M,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,04/26/2024
Germany,DEU,26202,Vodafone,LTE-M,B20,planX3,Guaranteed,PSM* and eDRX | SMS,06/06/2024
Greece,GRC,20205,Vodafone,LTE-M,B20,plan01s,Validated,PSM* | SMS,01/12/2024
Greece,GRC,20205,Vodafone,LTE-M,B20,planX3,Validated,PSM* | SMS,01/12/2024
Greece,GRC,20210,Wind,LTE-M,B20,plan01s,Validated,PSM* | SMS,07/01/2024
Greece,GRC,20210,Wind,LTE-M,B20,planP1,Validated,PSM* | SMS,07/01/2024
Honduras,HND,708001,Claro,LTE-M,B2,plan01s,Validated,SMS,01/02/2024
Hungary,HUN,21630,Telekom.hu,LTE-M,B3 | B20,plan01s,Validated,SMS,01/30/2024
Hungary,HUN,21601,Yettel,LTE-M,B20,planX3,Validated,SMS,06/10/2024
Hungary,HUN,21670,Vodafone,LTE-M,B20,plan01s,Validated,SMS,06/06/2024
Hungary,HUN,21670,Vodafone,LTE-M,B20,planP1,Validated,SMS,06/06/2024
Hungary,HUN,21630,Telekom.hu,LTE-M,B3 | B20,planP1,Validated,SMS,01/16/2024
Iceland,ISL,27402,Vodafone,LTE-M,B20,plan01s,Validated,SMS,07/01/2024
Iceland,ISL,27411,Nova,LTE-M,B20,plan01s,Validated,SMS,06/06/2024
Ireland,IRL,27205,3,LTE-M,B20,plan01s,Guaranteed,PSM and eDRX | SMS,09/13/2024
Ireland,IRL,27205,3,LTE-M,B20,planP1,Validated,SMS,06/06/2024
Israel,ISR,42503,Pelephone,LTE-M,B3 | B28,plan01s,Validated,PSM* and eDRX | SMS,09/23/2024
Israel,ISR,42502,Cellcom,LTE-M,B3,plan01s,Validated,PSM and eDRX | SMS,09/23/2024
Israel,ISR,42501,Partner,LTE-M,B3,plan01s,Validated,PSM and eDRX | SMS,09/23/2024
Italy,ITA,22210,Vodafone,LTE-M,B3 | B20,plan01s,Validated,eDRX* (81.92) and PSM* | SMS,01/30/2024
Italy,ITA,22210,Vodafone,LTE-M,B3 | B20,planX3,Validated,eDRX* (81.92) and PSM* | SMS,06/06/2024
Japan,JPN,44010,NTT Docomo,LTE-M,B1 | B19,plan-D,Guaranteed,PSM and eDRX | SMS,01/12/2024
Japan,JPN,44010,NTT Docomo,LTE-M,B1 | B19,plan01s,Guaranteed,PSM* and eDRX | SMS,07/01/2024
Japan,JPN,44010,NTT Docomo,LTE-M,B1 | B19,planX3,Guaranteed,PSM* and eDRX | SMS,07/01/2024
Japan,JPN,44020,SoftBank,LTE-M,B1 | B8,plan01s,Guaranteed,PSM and eDRX | SMS,06/06/2024
Japan,JPN,44020,SoftBank,LTE-M,B1 | B8,planP1,Validated,PSM and eDRX | SMS,06/06/2024
Japan,JPN,44020,SoftBank,LTE-M,B1 | B8,planX3,Guaranteed,PSM and eDRX | SMS,02/01/2024
Latvia,LVA,24701,LMT,LTE-M,B20,plan01s,Guaranteed,PSM and eDRX | SMS,11/11/2024
